      Step     Time          Energy          fmax
BFGS:    0 13:29:19      -96.792657         0.142436
BFGS:    1 13:46:11      -96.795118         0.132039
BFGS:    2 14:02:03      -96.822444         0.061695
BFGS:    3 14:17:57      -96.826824         0.055941
BFGS:    4 14:34:05      -96.834004         0.032975
BFGS:    5 14:50:18      -96.835060         0.035457
BFGS:    6 15:09:06      -96.835602         0.027107
BFGS:    7 15:27:38      -96.835165         0.024291
BFGS:    8 15:44:04      -96.835208         0.023302
BFGS:    9 16:02:59      -96.835555         0.024482
BFGS:   10 16:18:37      -96.836809         0.027079
BFGS:   11 16:35:09      -96.837885         0.033514
BFGS:   12 16:52:08      -96.840333         0.036073
BFGS:   13 17:10:17      -96.841926         0.024779
BFGS:   14 17:26:04      -96.841185         0.010543
BFGS:   15 17:41:52      -96.840616         0.005940
BFGS:   16 17:58:38      -96.840320         0.003743
BFGS:   17 18:14:54      -96.840197         0.001909
BFGS:   18 18:31:46      -96.840254         0.001481
BFGS:   19 18:48:10      -96.840392         0.001447
BFGS:   20 19:06:52      -96.840705         0.001545
BFGS:   21 19:24:22      -96.840592         0.001229
BFGS:   22 19:41:33      -96.840460         0.000908
