      Step     Time          Energy          fmax
BFGS:    0 16:04:59      -69.615532         0.846948
BFGS:    1 16:26:22      -69.722214         0.786993
BFGS:    2 17:02:49      -70.250762         0.237727
BFGS:    3 17:19:42      -70.289791         0.078915
BFGS:    4 17:35:19      -70.291779         0.075773
BFGS:    5 17:49:05      -70.292283         0.066567
BFGS:    6 18:07:55      -70.294181         0.069050
BFGS:    7 18:29:38      -70.296057         0.088812
BFGS:    8 18:49:08      -70.298718         0.103516
BFGS:    9 19:14:48      -70.302324         0.160389
BFGS:   10 19:43:11      -70.308213         0.197354
BFGS:   11 20:20:22      -70.318035         0.194528
BFGS:   12 20:55:18      -70.327928         0.145465
BFGS:   13 21:20:33      -70.334906         0.101692
BFGS:   14 21:41:03      -70.337994         0.105119
BFGS:   15 22:02:35      -70.340600         0.107398
BFGS:   16 22:24:03      -70.347767         0.126178
BFGS:   17 22:54:05      -70.359344         0.170785
BFGS:   18 23:25:01      -70.373063         0.175720
BFGS:   19 23:47:09      -70.382465         0.154843
BFGS:   20 00:05:09      -70.386648         0.147031
BFGS:   21 00:21:31      -70.389365         0.106441
BFGS:   22 00:38:41      -70.391868         0.047023
BFGS:   23 01:00:50      -70.393294         0.029428
BFGS:   24 01:17:17      -70.393623         0.019741
BFGS:   25 01:30:53      -70.393685         0.016277
BFGS:   26 01:42:55      -70.393725         0.013301
BFGS:   27 01:52:43      -70.393787         0.007168
BFGS:   28 02:03:53      -70.393822         0.006843
BFGS:   29 02:16:58      -70.393834         0.004826
BFGS:   30 02:27:08      -70.393839         0.004905
BFGS:   31 02:38:19      -70.393849         0.004990
BFGS:   32 02:49:30      -70.393863         0.004298
BFGS:   33 03:02:47      -70.393880         0.004061
BFGS:   34 03:13:05      -70.393884         0.002644
BFGS:   35 03:23:27      -70.393885         0.001686
BFGS:   36 03:32:47      -70.393886         0.001733
BFGS:   37 03:44:00      -70.393888         0.001732
BFGS:   38 03:55:24      -70.393891         0.001799
BFGS:   39 04:05:36      -70.393894         0.001935
BFGS:   40 04:15:56      -70.393895         0.001595
BFGS:   41 04:26:17      -70.393895         0.001222
BFGS:   42 04:34:31      -70.393896         0.000938
