      Step     Time          Energy          fmax
BFGS:    0 10:30:08      -69.598880         0.855021
BFGS:    1 10:39:00      -69.708698         0.794221
BFGS:    2 10:57:26      -70.243203         0.262108
BFGS:    3 11:09:01      -70.286413         0.071651
BFGS:    4 11:18:41      -70.288531         0.069149
BFGS:    5 11:27:16      -70.289045         0.060303
BFGS:    6 11:35:01      -70.290790         0.065808
BFGS:    7 11:43:27      -70.292360         0.090394
BFGS:    8 11:53:40      -70.294417         0.109451
BFGS:    9 12:01:25      -70.297077         0.114839
BFGS:   10 12:10:25      -70.302127         0.137771
BFGS:   11 12:21:10      -70.309353         0.144792
BFGS:   12 12:35:38      -70.317379         0.122718
BFGS:   13 12:47:30      -70.322330         0.086354
BFGS:   14 12:59:56      -70.324708         0.079555
BFGS:   15 13:07:33      -70.326920         0.090399
BFGS:   16 13:22:33      -70.332838         0.104572
BFGS:   17 13:32:13      -70.341505         0.138003
BFGS:   18 13:48:44      -70.351831         0.167330
BFGS:   19 13:59:54      -70.358168         0.149138
BFGS:   20 14:09:18      -70.362158         0.119379
BFGS:   21 14:19:16      -70.365197         0.101394
BFGS:   22 14:28:57      -70.367616         0.062911
BFGS:   23 14:38:30      -70.368785         0.041988
BFGS:   24 14:46:33      -70.369137         0.037749
BFGS:   25 14:53:45      -70.369361         0.028215
BFGS:   26 15:01:39      -70.369635         0.023008
BFGS:   27 15:09:42      -70.369887         0.017063
BFGS:   28 15:17:53      -70.369965         0.010875
BFGS:   29 15:24:50      -70.369984         0.009291
BFGS:   30 15:29:03      -70.369998         0.006844
BFGS:   31 15:35:12      -70.370025         0.008040
BFGS:   32 15:43:48      -70.370069         0.013130
BFGS:   33 15:50:04      -70.370098         0.015141
BFGS:   34 15:58:39      -70.370161         0.017809
BFGS:   35 16:06:52      -70.370213         0.017710
BFGS:   36 16:15:03      -70.370355         0.017227
BFGS:   37 16:23:47      -70.370507         0.015594
BFGS:   38 16:31:17      -70.370650         0.018834
BFGS:   39 16:38:23      -70.370706         0.019288
BFGS:   40 16:48:04      -70.370802         0.020116
BFGS:   41 16:56:41      -70.370925         0.020057
BFGS:   42 17:04:43      -70.371204         0.020840
BFGS:   43 17:12:21      -70.371535         0.021959
BFGS:   44 17:20:17      -70.371730         0.019488
BFGS:   45 17:29:27      -70.371819         0.018587
BFGS:   46 17:36:24      -70.371862         0.016991
BFGS:   47 17:46:14      -70.371929         0.014722
BFGS:   48 17:52:56      -70.372023         0.013797
BFGS:   49 18:00:41      -70.372163         0.014497
BFGS:   50 18:07:47      -70.372199         0.013223
BFGS:   51 18:15:26      -70.372227         0.011892
BFGS:   52 18:22:14      -70.372259         0.011473
BFGS:   53 18:30:17      -70.372309         0.010436
BFGS:   54 18:37:06      -70.372391         0.008883
BFGS:   55 18:43:23      -70.372429         0.009639
BFGS:   56 18:50:54      -70.372446         0.008127
BFGS:   57 18:57:11      -70.372465         0.006807
BFGS:   58 19:04:09      -70.372472         0.005699
BFGS:   59 19:11:08      -70.372485         0.003688
BFGS:   60 19:17:57      -70.372495         0.002579
BFGS:   61 19:22:59      -70.372498         0.002443
BFGS:   62 19:34:19      -70.372479         0.002438
BFGS:   63 19:43:35      -70.372500         0.001528
BFGS:   64 19:50:31      -70.372501         0.001483
BFGS:   65 19:54:52      -70.372501         0.001502
BFGS:   66 20:04:01      -70.372464         0.005905
BFGS:   67 20:13:17      -70.372503         0.000933
