      Step     Time          Energy         fmax
BFGS:    0 23:29:21     -223.969171        2.9047
BFGS:    1 23:39:00     -224.877969        1.5905
BFGS:    2 23:48:58     -225.421195        1.4188
BFGS:    3 23:59:01     -225.638260        0.7251
BFGS:    4 00:08:05     -225.717759        0.5088
BFGS:    5 00:16:34     -225.832326        0.7563
BFGS:    6 00:27:42     -226.000149        0.9658
BFGS:    7 00:35:18     -226.113266        0.6234
BFGS:    8 00:42:43     -226.157756        0.2504
BFGS:    9 00:50:10     -226.177400        0.2197
BFGS:   10 00:57:37     -226.194425        0.2992
BFGS:   11 01:04:22     -226.206770        0.1843
BFGS:   12 01:10:50     -226.211262        0.1089
BFGS:   13 01:17:25     -226.213287        0.0941
BFGS:   14 01:24:41     -226.215390        0.0950
BFGS:   15 01:34:40     -226.217857        0.1090
BFGS:   16 01:41:32     -226.219920        0.0859
BFGS:   17 01:49:23     -226.221450        0.0553
BFGS:   18 01:55:20     -226.222530        0.0676
BFGS:   19 02:02:49     -226.223327        0.0471
BFGS:   20 02:07:30     -226.223827        0.0326
BFGS:   21 02:11:39     -226.224201        0.0356
BFGS:   22 02:17:26     -226.224638        0.0675
BFGS:   23 02:24:42     -226.225147        0.0771
BFGS:   24 02:31:27     -226.225573        0.0524
BFGS:   25 02:37:06     -226.225829        0.0250
BFGS:   26 02:41:50     -226.226012        0.0299
BFGS:   27 02:47:22     -226.226301        0.0401
BFGS:   28 02:53:29     -226.226664        0.0535
BFGS:   29 02:59:08     -226.226935        0.0362
BFGS:   30 03:05:36     -226.227050        0.0165
BFGS:   31 03:11:28     -226.227082        0.0136
BFGS:   32 03:17:56     -226.227119        0.0121
BFGS:   33 03:22:19     -226.227150        0.0131
BFGS:   34 03:29:52     -226.227190        0.0076
BFGS:   35 03:34:39     -226.227196        0.0020
BFGS:   36 03:39:47     -226.227197        0.0003
