      Step     Time          Energy         fmax
BFGS:    0 01:57:29     -212.280875        2.7906
BFGS:    1 02:08:08     -213.594213        2.1587
BFGS:    2 02:20:14     -214.697499        1.8574
BFGS:    3 02:33:05     -215.296270        1.1958
BFGS:    4 02:42:58     -215.597447        1.0949
BFGS:    5 02:53:40     -216.016376        1.3198
BFGS:    6 03:05:27     -216.376354        1.4396
BFGS:    7 03:15:28     -216.634972        0.7811
BFGS:    8 03:26:10     -216.745428        0.6060
BFGS:    9 03:38:31     -216.824846        0.5890
BFGS:   10 03:54:23     -216.921834        0.6797
BFGS:   11 04:04:11     -216.992343        0.4287
BFGS:   12 04:15:26     -217.035483        0.3260
BFGS:   13 04:24:19     -217.056634        0.2414
BFGS:   14 04:34:49     -217.071309        0.2264
BFGS:   15 04:41:36     -217.082516        0.1387
BFGS:   16 04:49:42     -217.087783        0.0871
BFGS:   17 04:57:02     -217.090011        0.0810
BFGS:   18 05:07:48     -217.092278        0.0837
BFGS:   19 05:18:09     -217.095961        0.1184
BFGS:   20 05:27:05     -217.100285        0.1269
BFGS:   21 05:38:00     -217.103414        0.0866
BFGS:   22 05:45:58     -217.104727        0.0511
BFGS:   23 05:52:09     -217.105536        0.0557
BFGS:   24 05:59:34     -217.106699        0.0753
BFGS:   25 06:07:03     -217.108012        0.0715
BFGS:   26 06:15:52     -217.109344        0.0509
BFGS:   27 06:26:09     -217.110274        0.0566
BFGS:   28 06:34:04     -217.111075        0.0487
BFGS:   29 06:42:33     -217.111763        0.0365
BFGS:   30 06:48:35     -217.112182        0.0356
BFGS:   31 06:55:44     -217.112389        0.0295
BFGS:   32 07:02:19     -217.112540        0.0230
BFGS:   33 07:08:13     -217.112652        0.0160
BFGS:   34 07:11:38     -217.112700        0.0064
BFGS:   35 07:16:24     -217.112706        0.0015
BFGS:   36 07:20:13     -217.112707        0.0004
