      Step     Time          Energy         fmax
BFGS:    0 23:27:22     -223.969171        2.9047
BFGS:    1 23:39:48     -224.898966        1.5869
BFGS:    2 23:52:45     -225.469107        1.4850
BFGS:    3 00:21:48     -225.584019        0.7892
BFGS:    4 00:46:28     -225.726055        0.7718
BFGS:    5 01:02:42     -225.955740        1.0804
BFGS:    6 01:15:43     -226.132140        1.4744
BFGS:    7 01:32:22     -226.253105        0.9477
BFGS:    8 01:48:03     -226.315118        0.4036
BFGS:    9 02:10:04     -226.344062        0.3717
BFGS:   10 02:28:06     -226.364429        0.4960
BFGS:   11 02:42:58     -226.368046        0.4624
BFGS:   12 02:59:54     -226.355478        0.3165
BFGS:   13 03:19:46     -226.340298        0.2746
BFGS:   14 03:35:41     -226.315001        0.4835
BFGS:   15 03:49:23     -226.283493        0.4759
BFGS:   16 04:06:05     -226.261745        0.3150
BFGS:   17 04:20:31     -226.254818        0.2072
BFGS:   18 04:35:56     -226.256545        0.2162
BFGS:   19 04:53:05     -226.251619        0.2039
BFGS:   20 05:10:21     -226.241327        0.1887
BFGS:   21 05:25:24     -226.229470        0.1432
BFGS:   22 05:41:03     -226.214685        0.2830
BFGS:   23 05:55:23     -226.197674        0.3378
BFGS:   24 06:08:39     -226.188629        0.2319
BFGS:   25 06:22:36     -226.188283        0.0645
BFGS:   26 06:36:33     -226.190923        0.0533
BFGS:   27 06:49:27     -226.192438        0.0868
BFGS:   28 07:02:15     -226.192413        0.1174
BFGS:   29 07:13:55     -226.187941        0.0887
BFGS:   30 07:26:53     -226.183700        0.0347
BFGS:   31 07:40:31     -226.181714        0.0267
BFGS:   32 07:53:58     -226.180536        0.0333
BFGS:   33 08:08:18     -226.179663        0.0532
BFGS:   34 08:20:24     -226.178793        0.0473
BFGS:   35 08:33:38     -226.179935        0.0418
BFGS:   36 08:46:26     -226.181181        0.0385
BFGS:   37 08:58:49     -226.182424        0.0436
BFGS:   38 09:11:42     -226.182701        0.0600
BFGS:   39 09:24:41     -226.181579        0.0449
BFGS:   40 09:38:26     -226.178709        0.0230
BFGS:   41 09:51:36     -226.177044        0.0239
BFGS:   42 10:05:05     -226.176568        0.0243
BFGS:   43 10:21:01     -226.175617        0.0384
BFGS:   44 10:34:12     -226.174259        0.0578
BFGS:   45 10:46:28     -226.174173        0.0679
BFGS:   46 10:59:58     -226.175299        0.0524
BFGS:   47 11:14:46     -226.177646        0.0428
BFGS:   48 11:30:08     -226.177946        0.0329
BFGS:   49 11:43:52     -226.177920        0.0216
BFGS:   50 11:57:08     -226.177068        0.0148
BFGS:   51 12:12:28     -226.175666        0.0114
BFGS:   52 12:27:23     -226.175672        0.0111
BFGS:   53 12:39:35     -226.176061        0.0069
BFGS:   54 12:51:36     -226.176306        0.0033
BFGS:   55 13:04:18     -226.176459        0.0030
BFGS:   56 13:16:27     -226.176478        0.0028
BFGS:   57 13:30:20     -226.176455        0.0027
BFGS:   58 13:42:58     -226.176369        0.0028
BFGS:   59 13:56:13     -226.176329        0.0027
BFGS:   60 14:10:36     -226.176297        0.0026
BFGS:   61 14:21:39     -226.176198        0.0033
BFGS:   62 14:36:19     -226.176264        0.0034
BFGS:   63 14:51:31     -226.176498        0.0039
BFGS:   64 15:05:12     -226.176838        0.0033
BFGS:   65 15:20:04     -226.176933        0.0028
BFGS:   66 15:34:19     -226.177002        0.0026
BFGS:   67 15:48:05     -226.176713        0.0028
BFGS:   68 16:00:28     -226.176203        0.0023
BFGS:   69 16:14:50     -226.175991        0.0017
BFGS:   70 16:26:35     -226.175740        0.0015
BFGS:   71 16:40:08     -226.175697        0.0015
BFGS:   72 16:54:08     -226.175697        0.0013
BFGS:   73 17:06:52     -226.175741        0.0012
BFGS:   74 17:20:18     -226.175765        0.0007
