      Step     Time          Energy          fmax
BFGS:    0 17:37:17     -225.354127         2.921717
BFGS:    1 17:48:12     -226.285695         1.592600
BFGS:    2 18:10:31     -226.779841         1.452156
BFGS:    3 18:23:40     -227.076597         0.735242
BFGS:    4 18:36:41     -227.171290         0.534422
BFGS:    5 18:49:56     -227.301015         0.805591
BFGS:    6 19:01:27     -227.506826         1.043857
BFGS:    7 19:13:38     -227.636781         0.691134
BFGS:    8 19:26:22     -227.689320         0.268887
BFGS:    9 19:38:19     -227.712110         0.227061
BFGS:   10 19:52:05     -227.732357         0.307109
BFGS:   11 20:04:37     -227.749433         0.207747
BFGS:   12 20:18:20     -227.757342         0.161851
BFGS:   13 20:30:37     -227.762864         0.143172
BFGS:   14 20:42:35     -227.769796         0.187981
BFGS:   15 20:57:49     -227.778535         0.190307
BFGS:   16 21:10:51     -227.786713         0.160937
BFGS:   17 21:24:13     -227.792603         0.116154
BFGS:   18 21:37:11     -227.796601         0.110208
BFGS:   19 21:54:25     -227.674704         0.152029
BFGS:   20 22:06:24     -227.800443         0.119445
BFGS:   21 22:16:33     -227.802423         0.080706
BFGS:   22 22:27:26     -227.805800         0.110169
BFGS:   23 22:37:34     -227.807621         0.143515
BFGS:   24 22:48:12     -227.809404         0.111686
BFGS:   25 22:59:54     -227.810536         0.064830
BFGS:   26 23:12:58     -227.811698         0.062279
BFGS:   27 23:24:28     -227.812646         0.067839
BFGS:   28 23:37:41     -227.813405         0.052064
BFGS:   29 23:48:53     -227.813900         0.031694
BFGS:   30 23:59:10     -227.814173         0.033087
BFGS:   31 00:15:17     -227.814262         0.022684
BFGS:   32 00:29:34     -227.814233         0.017583
BFGS:   33 00:41:52     -227.814250         0.016016
BFGS:   34 00:52:37     -227.814265         0.020125
BFGS:   35 01:03:17     -227.814345         0.023201
BFGS:   36 01:14:29     -227.814430         0.022130
BFGS:   37 01:25:53     -227.814504         0.021277
BFGS:   38 01:38:32     -227.814558         0.020390
BFGS:   39 01:50:32     -227.814621         0.018058
BFGS:   40 02:06:13     -227.814657         0.020025
BFGS:   41 02:17:43     -227.814694         0.018354
BFGS:   42 02:28:51     -227.814724         0.017773
BFGS:   43 02:39:50     -227.814758         0.013609
BFGS:   44 02:51:45     -227.814785         0.007962
BFGS:   45 03:03:04     -227.814812         0.006263
BFGS:   46 03:14:38     -227.814827         0.006598
BFGS:   47 03:24:23     -227.814839         0.006973
BFGS:   48 03:35:51     -227.814828         0.010013
BFGS:   49 03:50:02     -227.814863         0.013929
BFGS:   50 05:21:59     -227.687420         0.146046
BFGS:   51 05:34:53     -227.814218         0.049159
BFGS:   52 05:44:44     -227.814992         0.009879
BFGS:   53 05:56:23     -227.815002         0.007824
BFGS:   54 06:06:40     -227.815032         0.004555
BFGS:   55 06:17:23     -227.815058         0.007079
BFGS:   56 06:27:58     -227.815099         0.008621
BFGS:   57 06:38:54     -227.815110         0.006500
BFGS:   58 06:49:23     -227.815124         0.005120
BFGS:   59 07:00:37     -227.815121         0.004781
BFGS:   60 07:12:37     -227.815113         0.004042
BFGS:   61 07:27:17     -227.815109         0.003665
BFGS:   62 07:39:57     -227.815105         0.002935
BFGS:   63 07:50:37     -227.815107         0.001943
BFGS:   64 08:00:34     -227.815112         0.001906
BFGS:   65 08:12:53     -227.815107         0.001693
BFGS:   66 08:24:04     -227.815114         0.001426
BFGS:   67 08:35:26     -227.815117         0.001470
BFGS:   68 08:47:37     -227.815112         0.001246
BFGS:   69 09:02:38     -227.815109         0.001124
BFGS:   70 09:13:41     -227.815109         0.000991
