      Step     Time          Energy         fmax
BFGS:    0 20:32:50     -212.280875        2.7906
BFGS:    1 20:38:35     -213.668358        2.1562
BFGS:    2 20:44:23     -214.995819        2.0996
BFGS:    3 20:49:46     -215.809616        1.8438
BFGS:    4 20:55:18     -216.310569        1.8779
BFGS:    5 21:01:20     -217.022547        1.8827
BFGS:    6 21:05:52     -217.639186        2.0692
BFGS:    7 21:12:27     -218.193109        1.6052
BFGS:    8 21:18:13     -218.577429        1.2869
BFGS:    9 21:23:50     -218.835670        1.1428
BFGS:   10 21:29:01     -219.139042        1.3324
BFGS:   11 21:34:35     -219.243714        0.8490
BFGS:   12 21:38:44     -219.342196        0.7663
BFGS:   13 21:43:35     -219.430668        0.8726
BFGS:   14 21:48:17     -219.486558        0.9603
BFGS:   15 21:52:38     -219.587353        0.8461
BFGS:   16 21:56:57     -219.644186        0.7622
BFGS:   17 22:01:09     -219.714868        0.6186
BFGS:   18 22:06:27     -219.784459        0.6884
BFGS:   19 22:11:15     -219.828394        0.5262
BFGS:   20 22:15:14     -219.827627        0.3534
BFGS:   21 22:18:53     -219.820592        0.2422
BFGS:   22 22:23:50     -219.821082        0.3583
BFGS:   23 22:28:13     -219.828237        0.3175
BFGS:   24 22:34:02     -219.837007        0.1736
BFGS:   25 22:38:04     -219.841823        0.1486
BFGS:   26 22:41:58     -219.844107        0.1564
BFGS:   27 22:46:19     -219.845187        0.2010
BFGS:   28 22:50:26     -219.848884        0.1968
BFGS:   29 22:56:07     -219.854318        0.1523
BFGS:   30 22:59:34     -219.856414        0.1473
BFGS:   31 23:03:20     -219.859116        0.1505
BFGS:   32 23:07:03     -219.862641        0.1443
BFGS:   33 23:10:31     -219.866362        0.1292
BFGS:   34 23:15:39     -219.867225        0.1164
BFGS:   35 23:20:14     -219.867361        0.1075
BFGS:   36 23:26:32     -219.868249        0.1006
BFGS:   37 23:30:17     -219.872552        0.1499
BFGS:   38 23:34:26     -219.881322        0.1932
BFGS:   39 23:40:29     -219.891667        0.1645
BFGS:   40 23:45:22     -219.899558        0.0753
BFGS:   41 23:50:18     -219.903035        0.0394
BFGS:   42 23:55:00     -219.903412        0.0342
BFGS:   43 23:59:36     -219.903978        0.0296
BFGS:   44 00:04:21     -219.905177        0.0285
BFGS:   45 00:08:03     -219.905804        0.0193
BFGS:   46 00:13:05     -219.906391        0.0180
BFGS:   47 00:17:42     -219.906636        0.0174
BFGS:   48 00:21:38     -219.906672        0.0169
BFGS:   49 00:26:48     -219.906423        0.0154
BFGS:   50 00:30:53     -219.906235        0.0164
BFGS:   51 00:34:28     -219.906578        0.0263
BFGS:   52 00:37:56     -219.906045        0.0247
BFGS:   53 00:44:24     -219.905008        0.0165
BFGS:   54 00:47:56     -219.904693        0.0105
BFGS:   55 00:51:42     -219.904632        0.0065
BFGS:   56 00:55:00     -219.904553        0.0046
BFGS:   57 00:58:32     -219.904775        0.0027
BFGS:   58 01:02:20     -219.904933        0.0019
BFGS:   59 01:06:23     -219.904985        0.0015
BFGS:   60 01:10:53     -219.904986        0.0013
BFGS:   61 01:16:24     -219.904887        0.0009
