      Step     Time          Energy         fmax
BFGS:    0 11:19:38     -212.280875        2.7906
BFGS:    1 11:33:39     -213.668335        2.1565
BFGS:    2 11:46:52     -214.995844        2.1000
BFGS:    3 11:58:46     -215.809552        1.8436
BFGS:    4 12:10:24     -216.310677        1.8780
BFGS:    5 12:21:56     -217.021642        1.8826
BFGS:    6 12:34:20     -217.638988        2.0688
BFGS:    7 12:49:31     -218.192589        1.6050
BFGS:    8 13:07:57     -218.577552        1.2865
BFGS:    9 13:17:58     -218.835504        1.1426
BFGS:   10 13:28:25     -219.139212        1.3311
BFGS:   11 13:38:53     -219.243769        0.8484
BFGS:   12 13:55:43     -219.342088        0.7659
BFGS:   13 14:06:54     -219.430689        0.8726
BFGS:   14 14:16:52     -219.486683        0.9603
BFGS:   15 14:26:23     -219.587407        0.8457
BFGS:   16 14:36:24     -219.644199        0.7626
BFGS:   17 14:45:42     -219.714722        0.6181
BFGS:   18 14:55:24     -219.784526        0.6890
BFGS:   19 15:04:53     -219.827968        0.5264
BFGS:   20 15:19:11     -219.827638        0.3533
BFGS:   21 15:27:26     -219.820525        0.2425
BFGS:   22 15:36:28     -219.821306        0.3582
BFGS:   23 15:50:54     -219.828438        0.3174
BFGS:   24 16:01:21     -219.836987        0.1736
BFGS:   25 16:11:13     -219.841719        0.1485
BFGS:   26 16:24:27     -219.844079        0.1563
BFGS:   27 16:34:53     -219.845384        0.2003
BFGS:   28 16:42:27     -219.848849        0.1967
BFGS:   29 16:54:54     -219.854861        0.1515
BFGS:   30 17:03:35     -219.856414        0.1472
BFGS:   31 17:14:50     -219.859044        0.1507
BFGS:   32 17:30:31     -219.862643        0.1441
BFGS:   33 17:45:02     -219.866301        0.1295
BFGS:   34 17:53:04     -219.867226        0.1165
BFGS:   35 18:02:43     -219.867357        0.1075
BFGS:   36 18:11:58     -219.868400        0.1007
BFGS:   37 18:21:45     -219.872550        0.1498
BFGS:   38 18:31:34     -219.881343        0.1925
BFGS:   39 18:41:46     -219.891500        0.1633
BFGS:   40 18:49:58     -219.899428        0.0754
BFGS:   41 19:01:50     -219.903015        0.0396
BFGS:   42 19:13:31     -219.903337        0.0346
BFGS:   43 19:22:45     -219.904088        0.0293
BFGS:   44 19:31:47     -219.905170        0.0290
BFGS:   45 19:40:06     -219.905761        0.0193
BFGS:   46 19:49:16     -219.906391        0.0180
BFGS:   47 19:57:32     -219.906730        0.0176
BFGS:   48 20:06:34     -219.906670        0.0166
BFGS:   49 20:16:31     -219.906509        0.0158
BFGS:   50 20:26:27     -219.906765        0.0163
