      Step     Time          Energy         fmax
BFGS:    0 22:26:02     -223.495145        2.9251
BFGS:    1 22:34:51     -224.370816        1.5330
BFGS:    2 22:42:54     -224.880535        1.3509
BFGS:    3 22:51:03     -225.068832        0.6376
BFGS:    4 22:58:54     -225.138765        0.4747
BFGS:    5 23:07:09     -225.244185        0.7281
BFGS:    6 23:16:20     -225.378550        0.8330
BFGS:    7 23:23:06     -225.459822        0.5370
BFGS:    8 23:29:25     -225.493570        0.2410
BFGS:    9 23:36:08     -225.509503        0.2241
BFGS:   10 23:44:29     -225.523585        0.2473
BFGS:   11 23:51:17     -225.533191        0.1294
BFGS:   12 23:58:11     -225.536829        0.1096
BFGS:   13 00:03:45     -225.538957        0.0879
BFGS:   14 00:09:52     -225.540995        0.0913
BFGS:   15 00:16:28     -225.542671        0.0878
BFGS:   16 00:21:55     -225.543823        0.0507
BFGS:   17 00:29:18     -225.544646        0.0596
BFGS:   18 00:35:03     -225.545251        0.0539
BFGS:   19 00:40:43     -225.545610        0.0240
BFGS:   20 00:44:56     -225.545783        0.0204
BFGS:   21 00:49:38     -225.545923        0.0283
BFGS:   22 00:54:31     -225.546068        0.0357
BFGS:   23 00:59:41     -225.546191        0.0263
BFGS:   24 01:04:12     -225.546256        0.0121
BFGS:   25 01:09:35     -225.546304        0.0140
BFGS:   26 01:15:03     -225.546366        0.0190
BFGS:   27 01:21:10     -225.546458        0.0224
BFGS:   28 01:27:11     -225.546546        0.0156
BFGS:   29 01:32:21     -225.546593        0.0132
BFGS:   30 01:36:56     -225.546618        0.0118
BFGS:   31 01:41:09     -225.546653        0.0156
BFGS:   32 01:46:13     -225.546696        0.0184
BFGS:   33 01:51:58     -225.546729        0.0115
BFGS:   34 01:56:35     -225.546739        0.0029
BFGS:   35 01:58:31     -225.546740        0.0022
BFGS:   36 02:07:18     -225.507516        0.6414
BFGS:   37 02:14:33     -225.546739        0.0025
BFGS:   38 02:18:19     -225.546740        0.0002
