      Step     Time          Energy         fmax
BFGS:    0 02:31:58     -223.495145        2.9251
BFGS:    1 02:44:01     -224.388076        1.5293
BFGS:    2 02:56:06     -224.915068        1.4001
BFGS:    3 03:08:47     -225.117365        0.6817
BFGS:    4 03:20:09     -225.203175        0.6940
BFGS:    5 03:32:42     -225.326801        0.8803
BFGS:    6 03:46:00     -225.465493        1.0949
BFGS:    7 03:58:37     -225.543579        0.6771
BFGS:    8 04:10:17     -225.585868        0.3725
BFGS:    9 04:21:29     -225.605051        0.3615
BFGS:   10 04:33:35     -225.616088        0.4234
BFGS:   11 04:46:33     -225.611805        0.4044
BFGS:   12 04:58:01     -225.597212        0.2429
BFGS:   13 05:08:49     -225.579986        0.2573
BFGS:   14 05:19:45     -225.559550        0.3387
BFGS:   15 05:30:36     -225.529809        0.3068
BFGS:   16 05:42:05     -225.506208        0.2562
BFGS:   17 05:55:14     -225.489915        0.2278
BFGS:   18 06:07:47     -225.479588        0.1914
BFGS:   19 06:20:54     -225.471465        0.2154
BFGS:   20 06:32:07     -225.462057        0.1680
BFGS:   21 06:43:15     -225.452474        0.1880
BFGS:   22 06:54:13     -225.441778        0.2800
BFGS:   23 07:07:06     -225.427805        0.2594
BFGS:   24 07:20:04     -225.419699        0.1257
BFGS:   25 07:31:25     -225.419466        0.0546
BFGS:   26 07:43:47     -225.420997        0.0541
BFGS:   27 07:55:17     -225.421441        0.0766
BFGS:   28 08:08:31     -225.419207        0.0573
BFGS:   29 08:22:03     -225.415180        0.0270
BFGS:   30 08:34:06     -225.413741        0.0263
BFGS:   31 08:46:43     -225.412359        0.0249
BFGS:   32 08:58:42     -225.411308        0.0257
BFGS:   33 09:08:40     -225.411427        0.0190
BFGS:   34 09:19:33     -225.412877        0.0173
BFGS:   35 09:31:20     -225.413870        0.0180
BFGS:   36 09:43:19     -225.415855        0.0341
BFGS:   37 09:57:45     -225.416513        0.0469
BFGS:   38 10:08:26     -225.415749        0.0424
BFGS:   39 10:20:16     -225.412475        0.0176
BFGS:   40 10:30:42     -225.411091        0.0167
BFGS:   41 10:42:58     -225.410506        0.0172
BFGS:   42 10:54:56     -225.410127        0.0179
BFGS:   43 11:07:21     -225.409551        0.0297
BFGS:   44 11:17:05     -225.408970        0.0411
BFGS:   45 11:28:02     -225.407876        0.0450
BFGS:   46 11:38:12     -225.406994        0.0314
BFGS:   47 11:50:21     -225.407947        0.0087
BFGS:   48 12:01:56     -225.408436        0.0033
BFGS:   49 12:13:17     -225.408397        0.0021
BFGS:   50 12:24:16     -225.408398        0.0013
BFGS:   51 12:36:23     -225.408376        0.0012
BFGS:   52 12:47:32     -225.408419        0.0013
BFGS:   53 12:58:43     -225.408439        0.0013
BFGS:   54 13:09:52     -225.408461        0.0012
BFGS:   55 13:20:01     -225.408462        0.0012
BFGS:   56 13:31:01     -225.408523        0.0014
BFGS:   57 13:40:56     -225.408459        0.0014
BFGS:   58 13:54:16     -225.408284        0.0013
BFGS:   59 14:05:48     -225.408284        0.0012
BFGS:   60 14:15:56     -225.408614        0.0010
